"name","복지및급여","워라벨","사내문화","승진기회및가능성","경영진","기업추천율","ceo지지율","성장가능성","총점"
페이스북코리아(유),4.5,4.0,4.4,4.2,4.2,83,85,77,4.5
(주)살다,3.7,4.3,4.5,4.2,4.4,88,91,85,4.4
라이엇게임즈코리아,4.3,3.9,4.5,3.5,4.2,87,80,68,4.4
(주)데이블,3.7,4.7,4.7,4.0,4.1,92,92,79,4.4
네이버웹툰,4.3,3.4,4.3,3.8,4.1,88,88,79,4.4
유니티테크놀로지스코리아(유),4.5,4.2,4.4,3.7,3.9,95,83,83,4.3
(주)센드버드코리아,4.2,3.7,4.5,4.1,4.1,86,87,76,4.3
구글코리아(유),4.4,4.2,4.5,4.0,4.0,89,83,79,4.3
(주)핫셀러,4.1,3.8,3.9,4.5,4.1,72,87,69,4.3
(주)벡터코리아아이티,3.2,4.6,4.0,3.0,3.3,83,67,65,4.2
(주)빅인사이트,3.6,3.6,3.8,4.2,4.3,73,95,86,4.2
네이버제트(주),4.1,3.9,4.1,3.5,3.9,87,87,70,4.2
버즈빌(주),3.7,3.8,4.4,3.8,4.2,79,93,56,4.1
(주)큐픽스,3.7,4.0,3.8,3.6,3.9,76,95,86,4.2
구 카카오(주) ,3.8,4.0,4.3,3.6,3.8,88,83,82,4.1
(주)셀메이트,4.0,4.4,4.0,3.6,4.0,78,81,68,4.1
(주)베이글코드,3.9,3.6,4.2,3.8,3.9,71,75,71,4.1
(주)에이스프로젝트,3.6,4.3,4.4,3.6,3.9,74,61,54,4.1
지오그레이트(주),3.7,3.9,3.9,4.2,4.0,73,80,73,4.1
(주)로드와이즈,3.6,4.3,4.1,3.7,4.2,78,96,87,4.1
(주)클루커스,4.0,3.9,3.8,3.9,3.7,82,87,76,4.1
네이버클라우드(주),4.2,3.3,3.7,3.6,3.5,80,86,65,4.0
시만텍코리아(주),3.8,4.2,3.8,3.5,3.4,76,67,29,4.0
에스에이피랩스코리아(주),3.9,4.4,4.3,3.0,3.0,78,54,37,4.0
SK텔레콤(주),4.4,3.9,3.9,3.3,3.3,81,68,34,4.0
피앤피시큐어(주),3.7,3.9,4.0,4.0,3.8,77,87,70,4.0
클래스팅(주),4.4,4.2,4.1,3.6,3.3,70,67,33,4.0
(주)코그넥스코리아,3.9,3.9,3.3,3.5,3.0,62,71,38,4.0
넷마블에프앤씨(주),4.0,3.4,3.9,3.6,3.6,74,91,52,4.0
